MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,Unnamed: 1,Unnamed: 2,Unnamed: 3
LOCATION,SUBURB,Reason Code,Audit Date
Abey Road,COBBLEBANK,BCD,2024-05-02 00:00:00
Acacia Street,GLENROY,BCD,2024-08-01 00:00:00
Adam Street,GOLDEN SQUARE,ACD,2024-10-01 00:00:00
Agar Road,CORONET BAY,BC,2024-09-01 00:00:00
Airport Drive,MELBOURNE AIRPORT,ABCD,T
Aitken Boulevard,ROXBURGH PARK,ABC,2024-08-01 00:00:00
Aitken Boulevard,CRAIGIEBURN,ABCD,2024-08-01 00:00:00
Aitken Street,ALEXANDRA,C,2024-04-01 00:00:00
Albert Road,WARRAGUL,ABC,T
Albert Road,SOUTH MELBOURNE,ABCD,2024-04-01 00:00:00
Albert Street,EAST MELBOURNE,A,2024-08-01 00:00:00
Albion Street,BRUNSWICK WEST,ABC,2024-08-01 00:00:00
Alexanders Road,MORWELL,BC,2024-02-01 00:00:00
Alexandra Street,GREENSBOROUGH,BD,2024-05-02 00:00:00
Alfred Street,HEIDELBERG HEIGHTS,ABCD,2024-04-01 00:00:00
Allan Street,KYABRAM,ABCD,2024-05-02 00:00:00
Allenby Avenue,RESERVOIR,C,2024-08-01 00:00:00
Allies Road,MYERS FLAT,AC,2024-10-01 00:00:00
Allingham Street,KANGAROO FLAT,BCD,2024-10-01 00:00:00
Alma Street,TOOTGAROOK,BC,2024-09-01 00:00:00
Ambrose Treacy Drive,BUNDOORA,BC,2024-08-01 00:00:00
Anakie Road,BELL PARK,BC,2024-08-01 00:00:00
Anderson Road,SUNSHINE,ABCD,2024-06-01 00:00:00
Anderson Road,FAWKNER,C,2024-08-01 00:00:00
Anderson Street,MELBOURNE,BCD,2024-08-01 00:00:00
Andersons Creek Road,DONCASTER EAST,ABCD,2024-06-01 00:00:00
Anzac Avenue,SEYMOUR,ABCD,T
Anzac Parade,BANDIANA,ABCD,2024-10-01 00:00:00
Anzac Road,TRAFALGAR,B,T
Apollo Road,TAYLORS LAKES,BC,2024-05-02 00:00:00
Ararat-Halls Gap Road,POMONAL,ABC,2024-10-01 00:00:00
Ararat-Halls Gap Road,JALLUKAR,AC,2024-10-01 00:00:00
Ararat-Halls Gap Road,MOYSTON,AC,2024-10-01 00:00:00
Arcadia Avenue,THE BASIN,ABCD,2024-07-01 00:00:00
Army Road,PAKENHAM,B,2024-04-01 00:00:00
Army Road,PAKENHAM UPPER,BC,2024-04-01 00:00:00
Arnot Street,BONNIE DOON,BCD,2024-04-01 00:00:00
Arthur Street,ST ALBANS,BCD,2024-06-01 00:00:00
Arthurs Creek Road,ARTHURS CREEK,ABC,2024-08-01 00:00:00
Arthurs Creek Road,YAN YEAN,AC,2024-08-01 00:00:00
Arthurs Seat Road,RED HILL,BCD,2024-09-01 00:00:00
Arundel Road,KEILOR,C,2024-05-02 00:00:00
Ascot Vale Road,ASCOT VALE,C,2024-08-01 00:00:00
Atherton Road,OAKLEIGH,ABCD,2024-06-01 00:00:00
Atkins Road,PAKENHAM,B,2024-04-01 00:00:00
Auburn Road,HAWTHORN,ABD,2024-06-01 00:00:00
Aughtie Drive,ALBERT PARK,BC,2024-06-01 00:00:00
Avenel Road,SEYMOUR,BC,2024-08-01 00:00:00
Avenel-Nagambie Rd,AVENEL,C,2024-08-01 00:00:00
Avenel-Nagambie Road,AVENEL,C,2024-08-01 00:00:00
Avenue of Honour,WOODEND NORTH,ACD,2024-05-02 00:00:00
Averys Road,EAGLEHAWK,ABCD,2024-10-01 00:00:00
Avondale Avenue,ST ALBANS,BC,2024-05-02 00:00:00
Axe Creek Road,AXE CREEK,C,2024-10-01 00:00:00
